;год;;;;;;;wikipedia
608;;1511;День подразделений по борьбе с организованной преступностью;ru;3;15 ноября;0;Министерство_внутренних_дел_Российской_Федерации
609;;1611;Международный день посвященный терпимости;ru;1;16 ноября;0;Международный_день,_посвящённый_терпимости
610;;1611;Международный день борьбы с анорексией;ru;2;16 ноября;0;Нервная_анорексия
611;;1711;Международный день студентов;ru;1;17 ноября;0;Международный_день_студентов
612;;1711;День участкового полицейского;ru;2;17 ноября;0;День_участковых_уполномоченных_милиции
613;;1711;Международный день недоношенных детей;ru;3;17 ноября;0;Международный_день_недоношенных_детей
614;;1711;День рождения актрисы Софи Марсо;ru;4;17 ноября;0;Марсо,_Софи
615;;1811;День рождения Деда Мороза;ru;1;18 ноября;0;Дед_Мороз
616;;1811;День ГИС;ru;2;18 ноября;0;День_ГИС
617;;1911;Международный мужской день;ru;1;19 ноября;0;Международный_мужской_день
618;;1911;День ракетных войск и артиллерии;ru;2;19 ноября;0;День_ракетных_войск_и_артиллерии_(Россия)
619;;1911;Всемирный день философии;ru;3;19 ноября;0;Всемирный_день_философии
620;;1911;День отказа от курения;ru;4;19 ноября;0;Всемирный_день_без_табака
621;;1911;Всемирный день туалета;ru;5;19 ноября;0;Всемирная_туалетная_организация
622;;2011;Всемирный день ребенка;ru;1;20 ноября;0;Всемирный_день_ребёнка
623;;2011;День памяти трансгендеров;ru;2;20 ноября;0;День_памяти_трансгендеров
624;;2111;День бухгалтера в России;ru;1;21 ноября;0;День_бухгалтера
625;;2111;День Работника Налоговых Органов;ru;2;21 ноября;0;День_работника_налоговых_органов_Российской_Федерации
626;;2111;Всемирный день телевидения;ru;3;21 ноября;0;Всемирный_день_телевидения
627;1963;2111;День рождения писателя Ника Перумова;ru;4;21 ноября;0;Перумов,_Ник
628;1965;2111;День рождения певицы Бьорк;ru;5;21 ноября;0;Бьорк
629;1963;2211;Убийство Джона Кеннеди-35 президента США;ru;1;22 ноября;0;Кеннеди,_Джон_Фицджеральд
630;1801;2211;День рождения ученого В.И. Даля;ru;2;22 ноября;0;Даль,_Владимир_Иванович
631;1984;2211;День рождения актрисы Скарлет Йохансон;ru;3;22 ноября;0;Йоханссон,_Скарлетт
632;1908;2311;День рождения детского писателя Н.Н. Носова;ru;1;23 ноября;0;Носов,_Николай_Николаевич
633;1875;2311;День рождения революционера А.В. Луначарского;ru;2;23 ноября;0;Луначарский,_Анатолий_Васильевич
634;1888;2411;День рождения писателя-психолога Дейла Карнеги;ru;1;24 ноября;0;Карнеги,_Дейл
635;;2511;День борьбы с насилием против женщин;ru;1;25 ноября;0;Международный_день_борьбы_за_ликвидацию_насилия_в_отношении_женщин
636;1844;2511;День  рождения изобретателя Карла Бенца;ru;2;25 ноября;0;Бенц,_Карл
637;;2611;День благодарения в США;ru;1;26 ноября;0;День_благодарения
638;1963;2611;"День рождения ""Спокойной ночи малыши!""";ru;2;26 ноября;0;Спокойной_ночи,_малыши!
639;1939;2611;День рождения певицы Тины Тернер;ru;3;26 ноября;0;Тина_Тёрнер
640;1975;2611;День рождения актера Максима Аверина;ru;4;26 ноября;0;Аверин,_Максим_Викторович
641;;2711;День Морской Пехоты;ru;1;27 ноября;0;День_морской_пехоты
642;;2711;День оценщика;ru;2;27 ноября;0;День_оценщика
643;;2711;Всемирный день отказа от покупок;ru;3;27 ноября;0;День_без_покупок
644;1940;2711;День рождения мастера единоборств Брюса Ли;ru;4;27 ноября;0;Ли,_Брюс
645;2006;2811;Скончалась актриса Л.Полищук;ru;1;28 ноября;0;Полищук,_Любовь_Григорьевна
646;;2911;День матери в России;ru;1;29 ноября;0;День_матери
647;;2911;День солидарности с палестинским народом;ru;2;29 ноября;0;Международный_день_солидарности_с_палестинским_народом
648;1783;2911;Введение буквы Ё в русский алфавит;ru;3;29 ноября;0;Ё
649;1835;3011;День рождения писателя Марка Твена;ru;1;30 ноября;0;Марк_Твен
650;1934;3011;День рождения актера В. М. Невинного;ru;2;30 ноября;0;Невинный,_Вячеслав_Михайлович
651;1800;112;Вашингтон стал столицей Соединенных Штатов Америки;ru;1;1 декабря;0;Вашингтон_(округ_Колумбия)
652;;112;Всемирный день борьбы со СПИДом;ru;2;1 декабря;0;Всемирный_день_борьбы_со_СПИДом
653;1935;112;День рождения кинорежисера Вуди Аллена;ru;3;1 декабря;0;Аллен,_Вуди
654;1805;212;Аустерлицкое сражение;ru;1;2 декабря;0;Битва_под_Аустерлицем
655;;212;День банковского работника России;ru;2;2 декабря;0;День_банковского_работника_России
656;;212;Международный день борьбы за отмену рабства;ru;3;2 декабря;0;Международный_день_борьбы_за_отмену_рабства
657;1981;212;День рождения певицы Бритни Спирс;ru;4;2 декабря;0;Спирс,_Бритни
658;1968;#Н/Д;День рождения актрисы Люси Лью;ru;5; 2 декабря;0;Лью,_Люси
659;;312;День инвалидов;ru;1;3 декабря;0;Международный_день_инвалидов
660;;312;День юриста;ru;2;3 декабря;0;День_юриста
661;;312;День  рождения рок-певца оззи Осборна;ru;3;3 декабря;0;Осборн,_Оззи
662;;412;День Информатики;ru;1;4 декабря;0;Информатика
663;;412;День объятий;ru;2;4 декабря;0;День_объятий
664;1941;512;День воинской славы-начало контр наступлений на Москву 1941;ru;1;5 декабря;0;Дни_воинской_славы_России
665;;512;День добровользев во имя экономического развития;ru;2;5 декабря;0;Международный_день_добровольцев_во_имя_экономического_и_социального_развития
666;1987;512;"День основания группы ""Сектор Газа""";ru;3;5 декабря;0;Сектор_Газа_(группа)
667;;512;"Пожар  в клубе ""Хромая лошадь""";ru;4;5 декабря;0;Пожар_в_клубе_«Хромая_лошадь»
668;1966;512;День рождения актрисы Патрисии Каас;ru;5;5 декабря;0;Каас,_Патрисия
669;1492;612;Открытие Колумбом острова Гаити;ru;1;6 декабря;0;Гаити_(остров)
670;;712;Международный день гражданской авиации;ru;1;7 декабря;0;Международный_день_гражданской_авиации
671;1934;812;День рожденияактрисы  Алисы Фрейндлих;ru;1;8 декабря;0;Фрейндлих,_Алиса_Бруновна
672;1980;812;Убийство певца Джона Леннона;ru;2;8 декабря;0;Леннон,_Джон
673;;912;День Героев Отечества в России;ru;1;9 декабря;0;День_Героев_Отечества
674;;912;Международныйдень борьбы с коррупцией;ru;2;9 декабря;0;Международный_день_борьбы_с_коррупцией
675;;912;День рождения интеллектуал А. Вассерман;ru;3;9 декабря;0;Вассерман,_Анатолий_Александрович
676;1896;1012;Церемония вручения Нобелевских премий;ru;1;10 декабря;0;Нобелевская_премия
677;;1012;День прав человека;ru;2;10 декабря;0;День_прав_человека
678;;1012;Всемирный день футбола;ru;3;10 декабря;0;Футбол
679;;1012;День Андреевского флага;ru;4;10 декабря;0;Андреевский_флаг
680;;1112;Международный день гор;ru;1;11 декабря;0;Международный_день_гор
681;1913;1112;День рождения актера Жана Маре;ru;2;11 декабря;0;Маре,_Жан
682;1918;1112;День рождения писателя А.Солженицина;ru;3;11 декабря;0;Солженицын,_Александр_Исаевич
683;1993;1212;День Конституции РФ;ru;1;12 декабря;0;День_Конституции_Российской_Федерации
684;1925;1212;День рождения композитора В. Шаинского;ru;2;12 декабря;0;Шаинский,_Владимир_Яковлевич
685;;1312;День святого апостола Андрея Первозванного;ru;1;13 декабря;0;Андрей_Первозванный
686;1904;1312;Скончался хирург Н.В. Склифосовский;ru;2;13 декабря;0;Склифосовский,_Николай_Васильевич
687;1989;1412;Скончался физик  А. Д. Сахаров;ru;1;14 декабря;0;Сахаров,_Андрей_Дмитриевич
688;1911;1412;Руаль Амундсена впервые достиг Южного полюса;ru;2;14 декабря;0;Норвежская_антарктическая_экспедиция_(1910—1912)
689;1799;1412;Скончался первый президент США - Джордж Вашингтон;ru;3;14 декабря;0;Вашингтон,_Джордж
690;;1512;Международный день чая;ru;1;15 декабря;0;Международный_день_чая
691;1699;1512;Петр I вводит юлианский календарь;ru;2;15 декабря;0;Юлианский_календарь
692;1791;1512;В США вступает в действие Билль о правах;ru;3;15 декабря;0;Билль_о_правах_(США)
693;1970;1512;Первое успешное приземление на другой планете. Венера-7;ru;4;15 декабря;0;Венера-7
694;1966;1512;Скончался Уолт Дисней;ru;5;15 декабря;0;Дисней,_Уолт
695;;1512;День радиотехнических войск ВВС РФ;ru;6;15 декабря;0;Радиотехнические_войска_ВВС_РФ
696;1964;1512;Скончался лингвист С.И. Ожегов;ru;7;15 декабря;0;Ожегов,_Сергей_Иванович
697;2009;1612;"Скончался ""Динамит"" - В.Е. Турчинский";ru;1;16 декабря;0;Турчинский,_Владимир_Евгеньевич
698;1946;1612;Открытие дома мод Кристиана Диора;ru;2;16 декабря;0;Диор,_Кристиан
699;1770;1612;День рождения композитора Людвиг Ван Бетховена;ru;3;16 декабря;0;Бетховен,_Людвиг_ван
700;;1712;День РВСН. День Военно-Космических Сил;ru;1;17 декабря;0;День_Ракетных_войск_стратегического_назначения
701;;1712;Международный день защиты секс-работниц от насилия;ru;2;17 декабря;0;Международный_день_защиты_секс-работников_от_насилия_и_жестокости
702;1989;1712;"Вышла первая серия  мультсериала ""Симпсоны""";ru;3;17 декабря;0;Симпсоны
703;;1812;День подразделений собственной безопасности МВД РФ;ru;1;18 декабря;0;День_подразделений_собственной_безопасности_органов_внутренних_дел_Российской_Федерации
704;;1812;Международный день мигранта;ru;2;18 декабря;0;Международный_день_мигранта
705;;1812;День работников ЗАГСа в РФ;ru;3;18 декабря;0;ЗАГС
706;1946;1812;День рождения режиссера Стивена Спилберга;ru;4;18 декабря;0;Спилберг,_Стивен
707;1921;1812;День рождения актера Ю. Никулина;ru;5;18 декабря;0;Никулин,_Юрий_Владимирович
708;;1912;День сотрудничества Юг-Юг организаций ООН;ru;1;19 декабря;0;День_сотрудничества_Юг-Юг_Организации_Объединённых_Наций
709;;1912;День святителя Николая Чудотворца;ru;2;19 декабря;0;Николай_Чудотворец
710;;1912;День риэлтора в РФ;ru;3;19 декабря;0;День_риелтора
711;1741;1912;Скончался мореплаватель Витус Беринг;ru;4;19 декабря;0;Беринг,_Витус_Ионассен
712;1915;1912;Скончался психиатр А. Альцгемер;ru;5;19 декабря;0;Альцгеймер,_Алоис
713;;2012;День Работника Органов Государственной Безопасности РФ;ru;1;20 декабря;0;День_работника_органов_безопасности_Российской_Федерации
714;;2012;Международный день солидарности людей;ru;2;20 декабря;0;Международный_день_солидарности_людей
715;1948;2112;День рождения актера Сэмюэл л. Джексона;ru;1;21 декабря;0;Джексон,_Сэмюэл_Лерой
716;2008;2112;Разгон ОМОНом акции протеста во Владивостоке (2008);ru;2;21 декабря;0;Акции_протеста_во_Владивостоке_(2008—2010)
717;;2212;День зимнего солнцестояния;ru;1;22 декабря;0;Равноденствие
718;;2212;День Энергетика;ru;2;22 декабря;0;День_энергетика
719;2000;2212;Установлен памятный день российской гвардии;ru;3;22 декабря;0;Гвардия
720;;2212;День рождения певицы Ванессы Паради;ru;4;22 декабря;0;Паради,_Ванесса
721;;2312;День Дальней Авиации ВВС России;ru;1;23 декабря;0;День_дальней_авиации_ВВС_Российской_Федерации
722;;2412;Сочельник у западных христиан;ru;1;24 декабря;0;Сочельник
723;;2412;День ФАПСИ в РФ;ru;2;24 декабря;0;Федеральное_агентство_правительственной_связи_и_информации_при_Президенте_Российской_Федерации
724;1790;2412;День воинской славы-Взятие турецкой крепости Измаил;ru;3;24 декабря;0;Штурм_Измаила
725;;2412;Создание Ку-Клукс-Клана;ru;4;24 декабря;0;Ку-клукс-клан
726;;2412;День рождения певца Димы Билана;ru;5;24 декабря;0;Билан,_Дима_Николаевич
727;;2512;Рождество Христово у западных христиан;ru;1;25 декабря;0;Рождество_Христово
728;1925;2512;Скончался поэт Сергей Есенин;ru;2;25 декабря;0;Есенин,_Сергей_Александрович
729;1991;2512;Отставка М.Горбачева с поста президента СССР;ru;3;25 декабря;0;Горбачёв,_Михаил_Сергеевич
730;1977;2512;Скончался комик Чарли Чаплин;ru;4;25 декабря;0;Чаплин,_Чарльз
731;1991;2612;Распад СССР;ru;1;26 декабря;0;Распад_СССР
732;1893;2612;День рождения Мао Цзэдуна;ru;2;26 декабря;0;Мао_Цзэдун
733;1949;2612;"День рождения ""Дартаньяна""-М.Боярского";ru;3;26 декабря;0;Боярский,_Михаил_Сергеевич
734;;2712;День Спасателя РФ;ru;1;27 декабря;0;День_спасателя_(Россия)
735;1945;2712;Создание Международного валютного фонда;ru;2;27 декабря;0;Международный_валютный_фонд
736;1948;2712;День рождения актера Жерара Депардье;ru;3;27 декабря;0;Депардьё,_Жерар
737;1971;2712;День рождения актера Сергея Бодрова;ru;4;27 декабря;0;Бодров,_Сергей_Сергеевич
738;;2812;Международный день кино;ru;1;28 декабря;0;Международный_день_кино
739;1954;2812;Родился Дензель Вашингтон;ru;2;28 декабря;0;Вашингтон,_Дензел
740;1969;2812;Родился Линус Торвальдс;ru;3;28 декабря;0;Торвальдс,_Линус
741;1709;2912;Родилась Елизавета, российская императрица;ru;1;29 декабря;0;Елизавета_Петровна
742;;2912;"Создание спецотряда ""Витязь""";ru;2;29 декабря;0;1-й_отряд_специального_назначения_внутренних_войск_«Витязь»
743;2013;2912;Взрыв на железнодорожном вокзале в Волгограде;ru;3;29 декабря;0;Взрыв_на_железнодорожном_вокзале_в_Волгограде
744;2007;2912;Открытие станции метро-Сретенский бульвар;ru;4;29 декабря;0;Сретенский_бульвар_(станция_метро)
745;1922;3012;Образование СССР;ru;1;30 декабря;0;Союз_Советских_Социалистических_Республик
746;1865;3012;Родился Редьярд Киплинг;ru;2;30 декабря;0;Киплинг,_Редьярд
747;2003;3012;Казнен Саддам Хусейн;ru;3;30 декабря;0;Саддам_Хусейн
748;;3112;Канун Нового года;ru;1;31 декабря;0;Канун_Нового_года
749;1999;3112;Борис Ельцин уходит в отставку;ru;2;31 декабря;0;Ельцин,_Борис_Николаевич
750;1968;3112;Первый в мире полет сверхзвукового самолета;ru;3;31 декабря;0;Ту-144
